YYYYMMDD,SystemsCount,,,,,
20030909,1,,,,,
20030910,1,,,,,"Ah - Collective2 account equity table says nothing about number of systems, because account equities are not calculated every day. So it can happen that some day MANY was recalculated suddenly for some reasons"
20030911,1,,,,,
20030912,1,,,,,
20030915,1,,,,,
20030916,4,,,,,
20030917,4,,,,,
20030918,5,,,,,
20030919,5,,,,,
20030922,5,,,,,
20030923,5,,,,,
20030924,6,,,,,
20030925,7,,,,,
20030926,10,,,,,
20030929,10,,,,,
20030930,11,,,,,
20031001,11,,,,,
20031002,11,,,,,
20031003,12,,,,,
20031006,12,,,,,
20031007,12,,,,,
20031008,13,,,,,
20031009,14,,,,,
20031010,14,,,,,
20031013,14,,,,,
20031014,16,,,,,
20031015,16,,,,,
20031016,17,,,,,
20031017,18,,,,,
20031020,18,,,,,
20031021,20,,,,,
20031022,20,,,,,
20031023,21,,,,,
20031024,21,,,,,
20031027,22,,,,,
20031028,22,,,,,
20031029,22,,,,,
20031030,22,,,,,
20031031,23,,,,,
20031103,23,,,,,
20031104,23,,,,,
20031105,23,,,,,
20031106,23,,,,,
20031107,24,,,,,
20031110,24,,,,,
20031111,25,,,,,
20031112,25,,,,,
20031113,25,,,,,
20031114,25,,,,,
20031117,25,,,,,
20031118,25,,,,,
20031119,25,,,,,
20031120,26,,,,,
20031121,26,,,,,
20031124,27,,,,,
20031125,27,,,,,
20031126,27,,,,,
20031128,27,,,,,
20031201,27,,,,,
20031202,28,,,,,
20031203,28,,,,,
20031204,28,,,,,
20031205,28,,,,,
20031208,28,,,,,
20031209,28,,,,,
20031210,28,,,,,
20031211,28,,,,,
20031212,28,,,,,
20031215,28,,,,,
20031216,28,,,,,
20031217,28,,,,,
20031218,28,,,,,
20031219,28,,,,,
20031222,28,,,,,
20031223,28,,,,,
20031224,28,,,,,
20031226,28,,,,,
20031229,28,,,,,
20031230,28,,,,,
20031231,28,,,,,
20040102,29,,,,,
20040105,31,,,,,
20040106,33,,,,,
20040107,33,,,,,
20040108,36,,,,,
20040109,38,,,,,
20040112,40,,,,,
20040113,76,,,,,
20040114,41,,,,,
20040115,78,,,,,
20040116,69,,,,,
20040119,69,,,,,
20040120,69,,,,,
20040121,68,,,,,
20040122,69,,,,,
20040123,71,,,,,
20040126,80,,,,,
20040127,81,,,,,
20040128,84,,,,,
20040129,88,,,,,
20040130,85,,,,,
20040202,87,,,,,
20040203,87,,,,,
20040204,88,,,,,
20040205,87,,,,,
20040206,86,,,,,
20040209,85,,,,,
20040210,87,,,,,
20040211,86,,,,,
20040212,87,,,,,
20040213,89,,,,,
20040216,90,,,,,
20040217,90,,,,,
20040218,90,,,,,
20040219,90,,,,,
20040220,90,,,,,
20040223,86,,,,,
20040224,86,,,,,
20040225,87,,,,,
20040226,89,,,,,
20040227,89,,,,,
20040302,92,,,,,
20040303,92,,,,,
20040304,93,,,,,
20040305,93,,,,,
20040308,97,,,,,
20040309,98,,,,,
20040310,98,,,,,
20040311,100,,,,,
20040312,100,,,,,
20040315,102,,,,,
20040316,103,,,,,
20040317,103,,,,,
20040318,105,,,,,
20040319,105,,,,,
20040322,107,,,,,
20040323,108,,,,,
20040324,106,,,,,
20040325,107,,,,,
20040326,107,,,,,
20040329,108,,,,,
20040330,109,,,,,
20040331,107,,,,,
20040401,108,,,,,
20040402,108,,,,,
20040405,103,,,,,
20040406,106,,,,,
20040407,108,,,,,
20040408,107,,,,,
20040409,109,,,,,
20040412,112,,,,,
20040413,113,,,,,
20040414,113,,,,,
20040415,113,,,,,
20040416,114,,,,,
20040419,108,,,,,
20040420,108,,,,,
20040421,108,,,,,
20040422,108,,,,,
20040423,108,,,,,
20040426,108,,,,,
20040427,108,,,,,
20040428,108,,,,,
20040429,108,,,,,
20040430,108,,,,,
20040503,108,,,,,
20040504,109,,,,,
20040505,109,,,,,
20040506,109,,,,,
20040507,109,,,,,
20040510,110,,,,,
20040511,112,,,,,
20040512,112,,,,,
20040513,113,,,,,
20040514,114,,,,,
20040517,115,,,,,
20040518,115,,,,,
20040519,116,,,,,
20040520,117,,,,,
20040521,119,,,,,
20040524,119,,,,,
20040525,119,,,,,
20040526,77,,,,,
20040527,79,,,,,
20040528,79,,,,,
20040531,79,,,,,
20040601,79,,,,,
20040602,79,,,,,
20040603,80,,,,,
20040604,74,,,,,
20040607,76,,,,,
20040608,77,,,,,
20040609,78,,,,,
20040610,74,,,,,
